location,population,total_deaths,people_fully_vaccinated,total_tests,total_cases,percent_pop_infected,stringency_index,median_age,percent_pop_vaccinated,death_percent_from_cases
Uganda,47123533,3602,10663135,2681702,164366,0.34879812598091914,93.52,16.4,22.62804658555631,2.1914507866590416
Guernsey,63385,,51351,,,,,,81.01443559201704,
Gambia,2486937,365,354340,155686,12002,0.4826016903524295,83.33,17.5,14.248048905139132,3.0411598066988836
Qatar,2930524,677,2611100,7231243,368788,12.584370576729622,86.11,31.9,89.100106329107,0.18357430285150275
Saint Pierre and Miquelon,5771,1,,,2748,47.61739733148501,,,,0.0363901018922853
Norway,5465629,3141,4039066,11119374,1433641,26.230119168351894,79.63,39.7,73.89938102275146,0.21909250642245864
Mozambique,32163045,2203,14098645,1326300,225754,0.7019049346851332,80.56,17.7,43.8349198591116,0.9758409596286223
Albania,2872934,3497,1235781,1609181,276101,9.61041917426575,89.81,38,43.01459762041175,1.2665654959598118
Palau,18174,6,,52722,5065,27.86948387806757,,,,0.11846001974333661
San Marino,34010,115,23631,,17124,50.34989708909144,92.59,,69.48250514554543,0.6715720626021958
Oman,5223376,4260,3072891,2031675,389473,7.456346240439133,100,30.7,58.82959603137894,1.093785705299212
Saint Lucia,184401,371,53929,203001,25593,13.87899197943612,,34.9,29.245503007033584,1.4496151291368733
Kenya,54985702,5651,9153176,3662979,324976,0.5910190980193359,88.89,20,16.646465657563127,1.7388976416720003
China,1444216102,5226,1255732000,9214000000,883995,0.0612093300147958,81.94,38.7,86.94903749245138,0.5911798143654658
Japan,126050796,30619,102063500,50064524,8838747,7.012051712866612,55.09,48.2,80.97013524611143,0.34641788027194353
Uruguay,3485152,7238,2875622,6086835,925777,26.563461220629687,87.04,35.6,82.51066237570126,0.781829749496909
Saint Helena,6095,,3531,,4,0.06562756357670221,,,57.932731747333875,
Ghana,31732128,1445,6329702,2447976,161370,0.5085382234686562,86.11,21.1,19.94729757802565,0.8954576439239016
Fiji,902899,864,634276,533707,65007,7.199808616467622,93.52,28.6,70.24883181839829,1.329087636716046
Lebanon,6769151,10429,2362193,4731376,1099199,16.23835839974614,92.59,31.1,34.89644417741605,0.948781794743263
